"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","54","35","37.3","14.4","644","0.854","945","0.571","164","0.354","0.565","0.648","33.4","10","4.1","1.1","1.6","3.4","43.4","37.5","47.5","12.7","123.4","103.8"
"2","Luka Doncic","Dal","F-G","24","57","36.3","38.2","14.3","629","0.736","804","0.586","453","0.349","0.563","0.613","33","8.6","8","1.5","0.5","3.7","41.6","41","49.6","14.5","120.6","108.4"
"3","Damian Lillard","Por","G","32.7","54","36.3","33.8","13.5","508","0.919","509","0.578","608","0.373","0.568","0.648","32.1","4.7","7.3","0.9","0.3","3.2","36.8","39.4","44.1","11.4","127.7","116.2"
"4","Giannis Antetokounmpo","Mil","F","28.3","52","32.5","38.9","16.2","659","0.654","916","0.581","150","0.28","0.558","0.598","31.2","11.9","5.5","0.7","0.8","4","43.1","36.7","48.6","15.6","115.8","99.2"
"5","Shai Gilgeous-Alexander","Okc","G-F","24.7","57","35.6","32.7","12.4","610","0.908","1009","0.533","146","0.342","0.531","0.625","31.2","4.8","5.6","1.7","1.1","2.9","36","36.8","41.6","10.6","124.7","109.5"
"6","Jayson Tatum","Bos","F-G","25","63","37.4","32.9","12","524","0.859","759","0.548","595","0.355","0.541","0.604","30.4","8.9","4.7","1","0.8","2.9","39.3","35.1","44.1","11.6","118.3","107.7"
"7","Stephen Curry","Gol","G","35","42","34.7","31","14.2","224","0.924","355","0.583","485","0.433","0.621","0.666","29.8","6.2","6.3","1","0.4","3.3","36","36.1","42.3","12.1","123.7","111.3"
"8","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.4","110.7"
"9","LeBron James","Lal","F","38.2","47","36.1","33.2","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","114.9","110.4"
"10","Devin Booker","Pho","G","26.4","40","34.2","32.1","10.7","247","0.838","569","0.545","252","0.369","0.548","0.595","27.7","4.6","5.9","0.9","0.4","2.5","32.2","33.5","38.1","10.6","119.7","109"
"11","Donovan Mitchell","Cle","G","26.5","59","35.6","31.8","11.6","305","0.875","644","0.561","556","0.383","0.567","0.61","27.6","4.1","4.7","1.5","0.4","2.7","31.7","32.3","36.4","9.1","118.2","106.6"
"12","Kyrie Irving","Dal","G","31","11","37.9","28.1","10.2","54","0.944","124","0.581","87","0.414","0.597","0.645","27.5","5.1","6.6","1.2","0.4","2.2","32.6","34.2","39.3","10.3","129.3","110.9"
"13","Kyrie Irving","Bro","G","31","40","36.9","29.7","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118","111.6"
"14","Ja Morant","Mem","G","23.6","53","32.5","35.3","14.1","453","0.744","825","0.512","269","0.316","0.502","0.555","27.1","6","8.2","1.1","0.2","3.4","33.1","35.3","41.3","13.5","114.5","108.7"
"15","Trae Young","Atl","G","24.5","61","35","33.1","17.2","522","0.889","793","0.482","404","0.337","0.49","0.573","26.8","3","10.1","1.1","0.1","4.1","29.8","36.9","39.9","10.7","116.1","116.9"
"16","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","110.5"
"17","Jaylen Brown","Bos","G-F","26.4","56","36.1","31.1","12.9","301","0.774","729","0.573","408","0.331","0.546","0.581","26.3","6.9","3.4","1.2","0.4","3","33.3","29.7","36.6","9.4","109.5","106.6"
"18","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.2","108.6"
"19","Anthony Davis","Lal","F-C","30","43","33.5","28.9","11.6","326","0.801","681","0.587","65","0.262","0.57","0.625","25.9","12.5","2.6","1","2.1","2.3","38.3","28.4","40.9","11.3","123.1","104.7"
"20","Mikal Bridges","Bro","F","26.5","13","34.3","27.8","8.2","79","0.899","151","0.523","73","0.479","0.587","0.645","25.7","4.8","2.8","1.1","0.6","1.5","30.5","28.5","33.3","8.2","125.3","114.5"
"21","De'Aaron Fox","Sac","G","25.2","59","34.1","30","12.5","370","0.781","810","0.577","279","0.326","0.554","0.598","25.4","4.2","6.3","1.2","0.3","2.6","29.6","31.7","35.9","10.3","118.5","111.5"
"22","Julius Randle","Nyk","F-C","28.3","70","35.9","29.4","13.2","485","0.753","721","0.551","587","0.346","0.536","0.581","25.3","10.3","4.1","0.7","0.3","2.8","35.6","29.4","39.7","11.4","116.8","105.5"
"23","Lauri Markkanen","Uta","F-C","25.8","61","34.4","26.1","10.3","362","0.873","573","0.586","457","0.4","0.593","0.646","25.2","8.6","1.9","0.6","0.6","1.9","33.8","27","35.6","8.7","126.4","112.2"
"24","DeMar DeRozan","Chi","G-F","33.6","61","36.2","28.2","11.1","446","0.868","987","0.528","98","0.316","0.523","0.594","25","4.6","5.1","1","0.5","2.2","29.5","30","34.6","9.2","118.6","109.3"
"25","Zach LaVine","Chi","G-F","28","63","36","28.2","12.5","355","0.845","678","0.547","459","0.383","0.558","0.607","24.9","4.8","4","1","0.2","2.6","29.7","28.9","33.6","8.7","115.1","110.6"
"26","Anthony Edwards","Min","G","21.6","68","36.4","29.7","14.8","363","0.774","831","0.514","501","0.367","0.528","0.565","24.8","5.9","4.4","1.7","0.7","3.4","30.7","29.3","35.1","9.5","106.1","109.9"
"27","Nikola Jokic","Den","C","28.1","60","33.8","27.2","19.3","369","0.813","766","0.666","130","0.408","0.658","0.699","24.7","12","10","1.3","0.7","3.6","36.6","34.7","46.6","17","134.9","105.5"
"28","Pascal Siakam","Tor","F","28.9","58","37.5","27.5","12","403","0.772","846","0.509","236","0.343","0.511","0.562","24.4","7.6","5.9","0.9","0.6","2.5","32","30.3","37.9","11","117","109.1"
"29","Jalen Brunson","Nyk","G","26.5","62","34.9","27","10.3","365","0.833","788","0.514","290","0.414","0.543","0.595","23.8","3.6","6.1","0.9","0.2","2","27.4","29.9","33.5","9.2","124.8","111.9"
"30","Paul George","Lac","F","32.9","52","34.5","29.4","15.2","270","0.881","520","0.525","399","0.373","0.54","0.593","23.7","6.2","5.2","1.4","0.3","3.2","29.8","28.9","35.1","10.6","113.5","107.4"
"31","Kawhi Leonard","Lac","F","31.7","41","33.4","27","9","223","0.874","494","0.547","186","0.419","0.569","0.623","23.6","6.3","3.9","1.4","0.6","1.6","30","27.5","33.8","10","125.3","111"
"32","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.6","108.6"
"33","Bradley Beal","Was","G","29.7","46","33.6","29.2","14.1","203","0.842","611","0.553","202","0.361","0.55","0.591","23.2","3.8","5.4","0.9","0.7","2.9","27","28.6","32.4","9.3","113.8","113.6"
"34","Brandon Ingram","Nor","F","25.5","31","32.7","30.5","15.2","167","0.868","429","0.492","122","0.393","0.514","0.569","22.9","5","4.8","0.7","0.4","3.2","27.9","27.7","32.7","10","108.2","108.2"
"35","Kristaps Porzingis","Was","F-C","27.6","58","32.8","27.4","12.1","385","0.842","579","0.551","320","0.384","0.56","0.623","22.9","8.5","2.6","0.8","1.5","2.1","31.4","25.5","34","9.7","121.3","106.2"
"36","Jimmy Butler","Mia","F","33.5","54","33.4","25.7","10.8","456","0.851","667","0.555","90","0.333","0.548","0.636","22.6","6","5.1","1.9","0.3","1.7","28.6","27.6","33.6","10.6","132.7","110.3"
"37","Darius Garland","Cle","G","23.1","59","35.3","27","15.2","292","0.856","590","0.498","366","0.423","0.551","0.601","22.1","2.7","7.9","1.3","0.1","2.9","24.8","30","32.7","8.8","119.5","108.5"
"38","Klay Thompson","Gol","G","33.1","56","32.8","26.8","8.8","116","0.897","431","0.469","592","0.407","0.551","0.573","22","4.1","2.5","0.7","0.3","1.8","26.1","24.5","28.6","7.4","109.4","113.7"
"39","James Harden","Phi","G","33.5","50","36.8","25.3","18.7","329","0.872","362","0.503","368","0.397","0.549","0.622","21.8","6.2","10.8","1.1","0.5","3.4","28","32.6","38.8","12.3","125.5","110.6"
"40","Jalen Green","Hou","G","21.1","61","33.6","28.4","13.5","350","0.78","626","0.47","457","0.337","0.485","0.535","21.7","3.8","3.6","0.7","0.3","2.8","25.5","25.3","29.1","7.9","107","118.6"
"41","Bojan Bogdanovic","Det","F","33.9","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.7","116.9"
"42","Keldon Johnson","San","F-G","23.4","57","32.6","27.6","11.1","296","0.77","623","0.522","365","0.323","0.508","0.551","21.6","4.9","2.9","0.7","0.2","2.2","26.5","24.5","29.4","8.3","108.2","118"
"43","Terry Rozier","Cha","G","29","59","35.7","26.8","10.2","213","0.803","649","0.478","478","0.331","0.485","0.518","21.4","4.2","5","1.2","0.3","2.2","25.7","26.4","30.7","8.6","106.2","114.6"
"44","Desmond Bane","Mem","G","24.7","44","31.3","26.1","11.2","159","0.893","402","0.512","309","0.411","0.558","0.599","21.3","5","4.2","0.9","0.4","2","26.3","25.5","30.5","9.8","118.8","106.3"
"45","Kyle Kuzma","Was","F","27.6","62","35.2","28","14.3","231","0.727","645","0.53","467","0.332","0.517","0.543","21.2","7.3","3.8","0.5","0.5","3","28.6","25","32.4","9.5","102.9","111.1"
"46","CJ McCollum","Nor","G","31.5","61","35","27.2","12.7","195","0.795","661","0.47","449","0.385","0.514","0.542","21.2","4.4","5.9","0.9","0.5","2.7","25.6","27.2","31.6","9.4","109","111.8"
"47","Anfernee Simons","Por","G","23.8","59","35","25.2","11","162","0.907","458","0.531","537","0.384","0.555","0.587","21.2","2.6","4.1","0.7","0.2","2.1","23.8","25.3","27.9","7","114.3","116.2"
"48","Bam Adebayo","Mia","C-F","25.7","64","35.1","25.6","14.3","347","0.807","971","0.547","12","0.083","0.542","0.592","21","9.4","3.3","1.2","0.8","2.6","30.4","24.3","33.7","9.9","115.5","104.4"
"49","Jordan Clarkson","Uta","G","30.8","61","32.6","27.9","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","109.1","115.5"
"50","Tyrese Haliburton","Ind","G","23","54","33.7","23.9","14.2","194","0.866","423","0.567","392","0.403","0.585","0.623","20.8","3.7","10.4","1.6","0.4","2.5","24.4","31.2","34.9","11","128.8","118"
"51","Dejounte Murray","Atl","G","26.5","63","36.4","24.7","10.9","154","0.844","785","0.512","349","0.358","0.52","0.545","20.8","5.4","6","1.5","0.3","2.2","26.2","26.8","32.2","9.6","111.7","115.1"
"52","Karl-Anthony Towns","Min","C-F","27.3","21","33.8","24.9","17.6","104","0.885","186","0.618","117","0.325","0.568","0.625","20.8","8.2","5.3","0.8","0.7","3.1","29","26","34.2","11.4","118.5","104.6"
"53","Jordan Poole","Gol","G","23.7","68","30.7","29.2","16.8","337","0.872","549","0.525","539","0.327","0.507","0.565","20.6","2.8","4.6","0.8","0.2","3.2","23.4","25.1","27.9","8.4","106.9","111.4"
"54","Jerami Grant","Por","F","29","63","35.6","23","11.3","342","0.813","554","0.523","359","0.401","0.554","0.606","20.5","4.5","2.4","0.8","0.8","1.8","25","22.9","27.3","6.8","117.9","114.8"
"55","Kelly Oubre Jr.","Cha","F-G","27.3","44","32.7","26.2","6.7","183","0.77","444","0.5","319","0.326","0.495","0.532","20.4","5.3","1.1","1.4","0.4","1.3","25.7","21.5","26.9","6","107.2","109.2"
"56","Tyler Herro","Mia","G","23.1","55","35.3","25.8","12.7","151","0.921","488","0.482","445","0.38","0.524","0.558","20.3","5.7","4.3","0.8","0.3","2.5","25.9","24.6","30.3","9","107.9","110.7"
"57","Jamal Murray","Den","G","26","54","32.7","26.5","11.6","189","0.825","521","0.493","357","0.387","0.528","0.564","20.1","4","5.9","1.1","0.2","2.1","24.1","26","30","9.5","115.7","114.1"
"58","Paolo Banchero","Orl","F","20.3","61","33.8","27.6","14.7","459","0.747","709","0.471","247","0.283","0.459","0.527","20","6.6","3.7","0.9","0.5","2.7","26.7","23.7","30.3","9.3","105.3","110.1"
"59","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100","112.2"
"60","RJ Barrett","Nyk","F-G","22.7","63","34.2","26.3","11.9","334","0.746","690","0.487","344","0.317","0.483","0.528","19.8","5.2","2.7","0.5","0.2","2.2","25","22.6","27.7","7.6","106.7","110.4"
"61","Tyrese Maxey","Phi","G","22.4","48","32.9","24.8","7.9","181","0.834","450","0.507","283","0.406","0.546","0.586","19.8","2.7","3.4","0.8","0.1","1.3","22.6","23.3","26","6.9","117.3","111.4"
