,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA
0,1,Joel Embiid,Phi,C-F,29.0,54,35.0,37.3,14.4,644
1,2,Luka Doncic,Dal,F-G,24.0,57,36.3,38.2,14.3,629
2,3,Damian Lillard,Por,G,32.7,54,36.3,33.8,13.5,508
3,4,Giannis Antetokounmpo,Mil,F,28.3,52,32.5,38.9,16.2,659
4,5,Shai Gilgeous-Alexander,Okc,G-F,24.7,57,35.6,32.7,12.4,610
5,6,Jayson Tatum,Bos,F-G,25.0,63,37.4,32.9,12.0,524
6,7,Stephen Curry,Gol,G,35.0,42,34.7,31.0,14.2,224
7,8,Kevin Durant,Bro,F,34.5,39,36.0,31.5,15.6,285
8,9,LeBron James,Lal,F,38.2,47,36.1,33.2,12.2,295
9,10,Devin Booker,Pho,G,26.4,40,34.2,32.1,10.7,247
10,11,Donovan Mitchell,Cle,G,26.5,59,35.6,31.8,11.6,305
11,12,Kyrie Irving,Dal,G,31.0,11,37.9,28.1,10.2,54
12,13,Kyrie Irving,Bro,G,31.0,40,36.9,29.7,10.0,179
13,14,Ja Morant,Mem,G,23.6,53,32.5,35.3,14.1,453
14,15,Trae Young,Atl,G,24.5,61,35.0,33.1,17.2,522
15,16,Kevin Durant,Pho,F,34.5,3,32.7,24.1,12.4,17
16,17,Jaylen Brown,Bos,G-F,26.4,56,36.1,31.1,12.9,301
17,18,Zion Williamson,Nor,F,22.7,29,33.0,30.3,17.4,248
18,19,Anthony Davis,Lal,F-C,30.0,43,33.5,28.9,11.6,326
19,20,Mikal Bridges,Bro,F,26.5,13,34.3,27.8,8.2,79
20,21,De'Aaron Fox,Sac,G,25.2,59,34.1,30.0,12.5,370
21,22,Julius Randle,Nyk,F-C,28.3,70,35.9,29.4,13.2,485
22,23,Lauri Markkanen,Uta,F-C,25.8,61,34.4,26.1,10.3,362
23,24,DeMar DeRozan,Chi,G-F,33.6,61,36.2,28.2,11.1,446
24,25,Zach LaVine,Chi,G-F,28.0,63,36.0,28.2,12.5,355
25,26,Anthony Edwards,Min,G,21.6,68,36.4,29.7,14.8,363
26,27,Nikola Jokic,Den,C,28.1,60,33.8,27.2,19.3,369
27,28,Pascal Siakam,Tor,F,28.9,58,37.5,27.5,12.0,403
28,29,Jalen Brunson,Nyk,G,26.5,62,34.9,27.0,10.3,365
29,30,Paul George,Lac,F,32.9,52,34.5,29.4,15.2,270
30,31,Kawhi Leonard,Lac,F,31.7,41,33.4,27.0,9.0,223
31,32,LaMelo Ball,Cha,G,21.6,36,35.2,29.9,15.2,121
32,33,Bradley Beal,Was,G,29.7,46,33.6,29.2,14.1,203
33,34,Brandon Ingram,Nor,F,25.5,31,32.7,30.5,15.2,167
34,35,Kristaps Porzingis,Was,F-C,27.6,58,32.8,27.4,12.1,385
35,36,Jimmy Butler,Mia,F,33.5,54,33.4,25.7,10.8,456
36,37,Darius Garland,Cle,G,23.1,59,35.3,27.0,15.2,292
37,38,Klay Thompson,Gol,G,33.1,56,32.8,26.8,8.8,116
38,39,James Harden,Phi,G,33.5,50,36.8,25.3,18.7,329
39,40,Jalen Green,Hou,G,21.1,61,33.6,28.4,13.5,350
40,41,Bojan Bogdanovic,Det,F,33.9,59,32.1,25.8,13.3,303
41,42,Keldon Johnson,San,F-G,23.4,57,32.6,27.6,11.1,296
42,43,Terry Rozier,Cha,G,29.0,59,35.7,26.8,10.2,213
43,44,Desmond Bane,Mem,G,24.7,44,31.3,26.1,11.2,159
44,45,Kyle Kuzma,Was,F,27.6,62,35.2,28.0,14.3,231
45,46,CJ McCollum,Nor,G,31.5,61,35.0,27.2,12.7,195
46,47,Anfernee Simons,Por,G,23.8,59,35.0,25.2,11.0,162
47,48,Bam Adebayo,Mia,C-F,25.7,64,35.1,25.6,14.3,347
48,49,Jordan Clarkson,Uta,G,30.8,61,32.6,27.9,15.3,245
49,50,Tyrese Haliburton,Ind,G,23.0,54,33.7,23.9,14.2,194
50,51,Dejounte Murray,Atl,G,26.5,63,36.4,24.7,10.9,154
51,52,Karl-Anthony Towns,Min,C-F,27.3,21,33.8,24.9,17.6,104
52,53,Jordan Poole,Gol,G,23.7,68,30.7,29.2,16.8,337
53,54,Jerami Grant,Por,F,29.0,63,35.6,23.0,11.3,342
54,55,Kelly Oubre Jr.,Cha,F-G,27.3,44,32.7,26.2,6.7,183
55,56,Tyler Herro,Mia,G,23.1,55,35.3,25.8,12.7,151
